"id","collection_id","query","volume","popularity","sentiment","since_id"
"1","1","""casa pound""","75","841913.7533333333","0","1004366851059699713"
"2","1","casapound","700","1614682.593974175","0","1004409220748468225"
"3","1","""forza nuova""","360","1563848.9041666666","0","1003739997311197185"
"4","1","forzanuova","117","1456038.873931624","0","1003908012459864064"
"5","2","berlusconi","3255","1997712.558294931","0","1004439054933512192"
"6","2","silvioberlusconi","18","1642513","0","1004063079037063168"
"7","2","salvini","5138","2293183.9073875803","0","1004455255906582529"
"8","2","matteosalvini","51","3802273.245098039","0","1004081648542023681"
"9","2","meloni","1003","1913537.6734031937","0","1004407340689391617"
"10","2","giorgiameloni","272","2138058.5202205884","0","1004442514462511104"
"11","2","lega","4210","2411503.4874643534","0","1004453382722027520"
"12","2","leganord","43","1954901.1337209302","0","1004305652322390016"
"15","2","forzaitalia","223","3867696.614253394","0","1004423036878180358"
"16","2","""forza Italia""","1098","2547100.2915525115","0","1004437459994898432"
"17","2","fratelliditalia","22","1823914.1931818181","0","1004355063387746313"
"18","2","""fratelli d'Italia""","181","2970671.1726519335","0","1004412151052857344"
"19","2","pdl","82","1491957.6158536586","0","1004274463259709440"
"20","2","""partito delle libertà""","1","0","0","1004441154711097347"
"21","4","""liberi e uguali""","148","1110502.9341216215","0","1003924515292934144"
"22","4","liberieuguali","70","7891570.985714286","0","1004071675258986498"
"23","4","grasso","581","2580509.0314655174","0","1004338588371308545"
"24","4","pietrograsso","82","2979066.1172839506","0","1004255846853939201"
"25","4","boldrini","784","1092008.0076726342","0","1004286538719596544"
"26","4","lauraboldrini","261","2229661.5740384613","0","1004219675281182720"
"27","5","grillo","1253","1189648.0693445243","0","1004428229204172800"
"28","5","beppegrillo","16","382301.453125","0","1004424052818219008"
"29","5","m5s","6070","2722176.6543850973","0","1004454294488338434"
"30","5","""movimento cinque stelle""","73","1643969.8801369863","0","1003543446412357633"
"31","5","""movimento 5 stelle""","498","1913573.5771169355","0","1004375436061798400"
"32","5","movimento5stelle","65","2455515.934615385","0","1004407587784347649"
"33","5","movimentocinquestelle","4","9953.625","0","1004058263325822976"
"34","5","""di maio""","4926","1937535.1233231707","0","1004450404837609472"
"35","5","dimaio","977","3938053.028974359","0","1004442394430001152"
"36","5","""luigi di maio""","579","1402676.4240069084","0","1004348049295073281"
"37","5","""di battista""","493","1750139.6419878297","0","1004359464546430976"
"38","5","dibattista","191","4790063.126963351","0","1004248043921788928"
"39","5","dibba","100","2118211.2175","0","1003563618359742464"
"40","5","alessandrodibattista","6","2850364.9583333335","0","1004361014501171207"
"62","1","""di Stefano""","199","1036760.0992462311","0","1004310008983584768"
"63","1","distefano","10","2307286.425","0","1004448547637465089"
"64","1","""simone di Stefano""","8","847744.21875","0","1003955193283833856"
"65","3","Renzi","3293","2184777.632062576","0","1004452257579065344"
"66","3","matteorenzi","670","3279649.1408819132","0","1004441565371170816"
"67","3","gentiloni","1289","2039194.4185458787","0","1004388907394486272"
"68","3","paologentiloni","166","3373590.890060241","0","1003770772568068096"
"69","3","pd","4539","2255646.81643896","0","1004454724236726277"
"70","3","partitodemocratico","22","6367512.6477272725","0","1004063079037063168"
"71","3","""partito democratico""","144","2504508.388888889","0","1004367684249800705"
"73","3","""centro democratico""","9","1415862.40625","0","1004453952065277953"
"74","3","centrodemocratico","1","0","0","1004441154711097347"
"75","3","""area civica""","2","0","0","1004441154711097347"
"76","3","areacivica","2","0","0","1004441154711097347"
"77","3","Bonino","394","1202989.2480964467","0","1004344319904534529"
"78","3","emmabonino","84","1055857.2113095238","0","1004097946969878530"
"82","4","mdp","37","1771335.5810810812","0","1004290970765201408"
"83","4","articolo1","4","510.1666666666667","0","1004058263325822976"
"84","4","""articolo 1""","10","1884661.6","0","1004453952065277953"
"85","4","articolouno","7","5902422.821428572","0","1004361014501171207"
"86","4","mdparticolouno","1","0","0","1004441154711097347"
"87","4","bersani","209","1096576.2141148325","0","1003962143375577088"
"88","4","pierluigibersani","3","53185.25","0","1004441154711097347"
"89","4","pisapia","28","989132.2857142857","0","1004441394017112067"
"90","4","giulianopisapia","2","385054.125","0","1004441154711097347"
"91","4","civati","123","4402180.975609756","0","1004032358352326656"
"92","4","pippocivati","1","0","0","1004441154711097347"
"93","4","leu","524","2670640.0200764816","0","1004365211531440128"
"96","2","cav","326","576990.7561349693","0","1003730511666262017"
"97","2","cavaliere","272","3452186.643911439","0","1004252181703380992"
"98","2","fontana","912","2042188.4723135964","0","1004443789577064450"
"99","2","""attilio fontana""","69","307705.5869565217","0","1004285616014659584"
"135","1","CPI","23","1581488.6847826086","0","1004427747920371714"
"136","1","""casa pound italia""","2","0","0","1004441154711097347"
"137","1","chiaraluce","3","158.33333333333334","0","1004441154711097347"
"138","1","chiaralucetw","0","0","0","1004389639808012288"
"139","2","""Noi con l'Italia"" OR UDC OR NCI","58","653087.6551724138","0","1004036618582278145"
"140","1","""terza posizione"" OR terzaposizione","4","2711.625","0","1004058263325822976"
